info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees,date,date_time
"{'a': '3692246128', 'p': '121359.48000000', 'q': '0.28054000', 'f': '5295178461', 'l': '5295178461', 'T': '1759881602326', 'm': False, 'M': True}",2025-10-08 00:00:02.326,2025-10-08T00:00:02.326Z,BTC/USDT,3692246128,,,buy,,121359.48,0.28054,34046.1885192,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246129', 'p': '121359.48000000', 'q': '0.38920000', 'f': '5295178462', 'l': '5295178462', 'T': '1759881602327', 'm': False, 'M': True}",2025-10-08 00:00:02.327,2025-10-08T00:00:02.327Z,BTC/USDT,3692246129,,,buy,,121359.48,0.3892,47233.109616,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246130', 'p': '121359.48000000', 'q': '0.01719000', 'f': '5295178463', 'l': '5295178463', 'T': '1759881602328', 'm': False, 'M': True}",2025-10-08 00:00:02.328,2025-10-08T00:00:02.328Z,BTC/USDT,3692246130,,,buy,,121359.48,0.01719,2086.1694612,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246131', 'p': '121359.48000000', 'q': '0.11227000', 'f': '5295178464', 'l': '5295178464', 'T': '1759881602328', 'm': False, 'M': True}",2025-10-08 00:00:02.328,2025-10-08T00:00:02.328Z,BTC/USDT,3692246131,,,buy,,121359.48,0.11227,13625.0288196,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246132', 'p': '121359.48000000', 'q': '0.69805000', 'f': '5295178465', 'l': '5295178465', 'T': '1759881602328', 'm': False, 'M': True}",2025-10-08 00:00:02.328,2025-10-08T00:00:02.328Z,BTC/USDT,3692246132,,,buy,,121359.48,0.69805,84714.985014,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246133', 'p': '121359.48000000', 'q': '0.06982000', 'f': '5295178466', 'l': '5295178466', 'T': '1759881602328', 'm': False, 'M': True}",2025-10-08 00:00:02.328,2025-10-08T00:00:02.328Z,BTC/USDT,3692246133,,,buy,,121359.48,0.06982,8473.3188936,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246134', 'p': '121359.48000000', 'q': '0.21682000', 'f': '5295178467', 'l': '5295178467', 'T': '1759881602328', 'm': False, 'M': True}",2025-10-08 00:00:02.328,2025-10-08T00:00:02.328Z,BTC/USDT,3692246134,,,buy,,121359.48,0.21682,26313.1624536,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246135', 'p': '121359.48000000', 'q': '0.24980000', 'f': '5295178468', 'l': '5295178468', 'T': '1759881602329', 'm': False, 'M': True}",2025-10-08 00:00:02.329,2025-10-08T00:00:02.329Z,BTC/USDT,3692246135,,,buy,,121359.48,0.2498,30315.598104,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246136', 'p': '121359.48000000', 'q': '0.01774000', 'f': '5295178469', 'l': '5295178469', 'T': '1759881602329', 'm': False, 'M': True}",2025-10-08 00:00:02.329,2025-10-08T00:00:02.329Z,BTC/USDT,3692246136,,,buy,,121359.48,0.01774,2152.9171752,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246137', 'p': '121359.48000000', 'q': '0.08235000', 'f': '5295178470', 'l': '5295178470', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246137,,,buy,,121359.48,0.08235,9993.953178,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246138', 'p': '121359.48000000', 'q': '0.03396000', 'f': '5295178471', 'l': '5295178471', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246138,,,buy,,121359.48,0.03396,4121.3679408,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246139', 'p': '121359.48000000', 'q': '0.10010000', 'f': '5295178472', 'l': '5295178472', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246139,,,buy,,121359.48,0.1001,12148.083948,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246140', 'p': '121359.48000000', 'q': '0.02501000', 'f': '5295178473', 'l': '5295178473', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246140,,,buy,,121359.48,0.02501,3035.2005948,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246141', 'p': '121359.48000000', 'q': '0.02643000', 'f': '5295178474', 'l': '5295178474', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246141,,,buy,,121359.48,0.02643,3207.5310564,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246142', 'p': '121359.48000000', 'q': '0.27341000', 'f': '5295178475', 'l': '5295178475', 'T': '1759881602330', 'm': False, 'M': True}",2025-10-08 00:00:02.330,2025-10-08T00:00:02.330Z,BTC/USDT,3692246142,,,buy,,121359.48,0.27341,33180.8954268,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246143', 'p': '121359.48000000', 'q': '0.01694000', 'f': '5295178476', 'l': '5295178476', 'T': '1759881602331', 'm': False, 'M': True}",2025-10-08 00:00:02.331,2025-10-08T00:00:02.331Z,BTC/USDT,3692246143,,,buy,,121359.48,0.01694,2055.8295912,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246144', 'p': '121359.48000000', 'q': '0.10338000', 'f': '5295178477', 'l': '5295178506', 'T': '1759881602331', 'm': False, 'M': True}",2025-10-08 00:00:02.331,2025-10-08T00:00:02.331Z,BTC/USDT,3692246144,,,buy,,121359.48,0.10338,12546.1430424,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246145', 'p': '121359.49000000', 'q': '0.00077000', 'f': '5295178507', 'l': '5295178508', 'T': '1759881602332', 'm': False, 'M': True}",2025-10-08 00:00:02.332,2025-10-08T00:00:02.332Z,BTC/USDT,3692246145,,,buy,,121359.49,0.00077,93.4468073,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246146', 'p': '121359.49000000', 'q': '0.00070000', 'f': '5295178509', 'l': '5295178509', 'T': '1759881602332', 'm': False, 'M': True}",2025-10-08 00:00:02.332,2025-10-08T00:00:02.332Z,BTC/USDT,3692246146,,,buy,,121359.49,0.0007,84.951643,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246147', 'p': '121359.49000000', 'q': '0.00011000', 'f': '5295178510', 'l': '5295178510', 'T': '1759881602333', 'm': False, 'M': True}",2025-10-08 00:00:02.333,2025-10-08T00:00:02.333Z,BTC/USDT,3692246147,,,buy,,121359.49,0.00011,13.3495439,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
